HIP;RA_J2000;DE_J2000
17876;3.824317;12.908965
24846;5.326367;3.873880
27642;5.851285;18.551303
22610;4.864453;23.354666
18599;3.979617;9.026071
27626;5.849017;20.360349
27735;5.871711;9.197672
28716;6.065329;20.138452
16865;3.617355;15.822426
27389;5.800533;4.986392
14630;3.150052;9.711670
26441;5.626828;23.138858
26492;5.634827;6.534516
26298;5.600720;19.549410
26272;5.594591;21.403257
21533;4.623560;13.920975
27129;5.753200;18.704361
27941;5.912426;13.854738
18988;4.068657;4.094987
17291;3.701794;16.956028
23436;5.037748;24.029163
24625;5.281761;4.663754
17040;3.653017;11.089960
17206;3.686072;4.185805
16618;3.563692;21.019581
26696;5.673579;21.295017
23320;5.015361;6.584649
24386;5.231658;17.453264
15268;3.282575;22.833497
27442;5.810713;23.785472
26211;5.585991;5.462214
28676;6.054908;11.136055
17836;3.816134;14.975641
15227;3.272052;19.337771
19714;4.223447;3.902234
28341;5.989029;11.762603
15650;3.357861;7.624536
27287;5.782421;20.281835
28268;5.972860;12.988532
24473;5.252278;6.441197
23681;5.090111;4.581705
25385;5.431022;21.132512
19355;4.146422;6.781541
15233;3.273736;13.851491
16007;3.435783;14.290266
20062;4.302162;9.728334
26522;5.640636;4.245335
23401;5.029485;18.777421
22351;4.812030;10.395165
23184;4.988791;5.299417
14089;3.027944;16.315441
15081;3.240919;13.073890
24910;5.339140;18.593377
20182;4.326114;14.692331
16569;3.555554;3.440254
24317;5.218027;18.498675
26786;5.689612;17.522180
21866;4.701491;11.856022
27362;5.794949;5.883762
24475;5.252510;15.062559
26484;5.632905;22.465215
26770;5.686581;20.062524
17740;3.799178;18.663354
24855;5.328169;5.645212
25372;5.427658;16.636010
27183;5.761258;18.656892
23247;5.002731;22.592767
26599;5.654119;23.323360
14601;3.141912;10.445897
15841;3.400993;13.054988
27851;5.892687;24.286998
19623;4.204802;9.127452
25409;5.434829;22.825995
23508;5.054751;4.015558
24310;5.216828;8.467598
22211;4.776638;19.494251
27585;5.841578;20.444182
19886;4.265883;12.099401
26991;5.726688;12.995633
17070;3.658517;3.792797
17158;3.674854;5.129949
27034;5.733956;7.428077
28709;6.063399;13.109963
22085;4.751137;9.487955
22672;4.876448;20.104812
23900;5.135173;24.265175
25812;5.512954;13.815187
20513;4.395605;22.964799
25826;5.514380;10.254383
20099;4.308959;4.951935
23592;5.072796;21.643549
27191;5.763675;18.792437
17141;3.670900;8.081384
27374;5.797994;17.796700
28064;5.933483;12.962790
14778;3.180321;10.005896
16534;3.548648;12.974552
18506;3.957073;18.691982
18684;4.001039;21.370305
18409;3.935804;19.228374
22685;4.878335;8.364685
24467;5.251623;4.905215
26166;5.578711;5.660882
27135;5.753813;24.420127
18025;3.852245;20.552931
16593;3.559977;14.678491
21810;4.685026;6.631325
23469;5.045429;5.830488
28497;6.015372;17.890237
16615;3.563595;10.233787
22357;4.812743;19.723962
22665;4.874956;9.864092
21424;4.599849;4.070826
23494;5.050580;9.382420
23353;5.022447;15.744372
27120;5.751004;21.477817
14096;3.030520;8.153739
16305;3.503522;24.486857
22005;4.730327;3.477886
26669;5.667950;11.175594
15283;3.286562;15.406627
24229;5.202168;6.859832
25936;5.535005;21.057310
14496;3.120767;5.019856
14675;3.159967;19.031721
25201;5.391667;16.042474
27587;5.841626;13.383352
17708;3.792851;16.705925
17444;3.737176;9.696823
28425;6.002713;19.990921
28700;6.061118;10.129666
28814;6.082878;4.158671
26411;5.621207;19.010492
21371;4.585785;7.773687
26684;5.670565;21.285993
22161;4.768083;18.800740
26861;5.702937;13.591858
26944;5.717225;22.675675
23996;5.158286;14.355939
26826;5.695595;19.357090
25155;5.383225;11.417507
25809;5.512522;21.515349
25035;5.361087;18.906781
20321;4.353467;4.465394
26618;5.657648;11.502946
25375;5.428347;9.228531
26575;5.649939;4.138660
21575;4.631760;7.317625
25445;5.442270;8.255326
24158;5.188298;22.116879
27841;5.890794;18.169956
28046;5.931102;19.396057
15564;3.342381;16.332988
16416;3.523460;17.811329
18441;3.942204;8.511754
19180;4.111239;13.157218
28041;5.930325;20.175191
28621;6.042590;13.025450
27906;5.905215;24.328670
