"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"69",14601,3.14191,10.4459,0.89,66.42,-88.06,9.81,0.473,0,2
"288",23574,5.06817,17.1249,2.26,98.52,-51.59,8.78,1.028,0,2
"338",17128,3.66866,4.63034,2.47,132.5,2.18,10.04,0.643,0,2
"353",16706,3.58293,17.7106,2.54,67.34,-41.49,9.85,0.7,0,2
"596",14993,3.22081,21.6447,3.41,64.98,-38.58,8.23,0.496,0,2
"663",19003,4.07188,12.5074,3.6,59.22,-17.95,7.45,1.913,0,2
"763",23599,5.07411,10.1868,3.98,112.43,-94.14,10.32,0.59,0,2
"776",24351,5.22553,5.76817,4.04,60.28,-30.42,8.1,0.995,0,2
"884",18995,4.06972,23.4075,4.39,90.45,-116.79,8.2,0.657,0,2
"886",19189,4.11244,5.68683,4.4,70.32,15.57,8.51,0.587,0,2
"929",15593,3.34708,6.43323,4.55,61.86,-13.95,9.61,0.559,0,2
"948",17792,3.80855,9.64595,4.61,72.36,10.28,6.68,1.2,0,2
"1052",20226,4.33446,23.5988,4.91,140.66,-35.19,7.19,1.113,0,2
"1103",14792,3.18364,9.98965,5.13,165.72,-22.58,9.65,0.604,0,2
"1106",24543,5.26553,21.822,5.15,245.77,16.44,10.24,0.681,0,2
"1145",16362,3.51306,5.36703,5.3,80.03,-8.41,7.03,0.95,0,2
"1169",15918,3.41649,10.01,5.37,87.46,-10.7,7.96,1.034,0,2
"1268",15072,3.2381,22.9538,5.8,59.19,-8.35,6.76,1.111,0,2
"1284",23049,4.96033,17.3922,5.85,69.62,-104.11,9.18,0.708,0,2
"1319",17643,3.78049,11.1841,5.99,97.51,-55.94,8.27,1.072,0,2
"1354",19538,4.18499,6.71851,6.14,54.6,-22.39,8.77,0.492,0,2
"1366",17066,3.65794,6.7366,6.2,68.78,-2.92,9.3,0.823,0,2
"1377",23382,5.02688,12.3409,6.24,53.1,-116.5,7.66,1.038,0,2
"1429",15612,3.35036,19.4763,6.44,63.85,-56.74,7.96,0.594,0,2
"1433",20352,4.35913,16.803,6.46,39.1,-105.18,9.17,0.554,0,2
"1455",20540,4.40126,12.9724,6.58,69.19,-36.4,7.7,1,0,2
"1467",16950,3.63469,20.2339,6.62,68.27,-45.28,9.45,0.756,0,2
"1469",17605,3.77115,7.69261,6.63,102.05,-70.69,10.09,0.68,0,2
"1489",15978,3.42896,5.93543,6.68,63.95,-20.06,7.65,0.082,0,2
"1504",15954,3.4234,17.7438,6.77,57.93,-83.22,8.69,0.667,0,2
"1508",14111,3.03231,13.2393,6.78,83.96,-40.09,9.37,0.427,0,2
"1525",23310,5.01313,4.56764,6.88,84.73,-35.94,6.69,1.032,0,2
"1559",28620,6.04189,13.2896,7.05,56.38,-64.33,7.9,0.485,0,2
"1576",22852,4.9164,5.38197,7.15,190.28,-43.36,12.39,0.57,0,2
"1588",13786,2.95796,16.2937,7.2,76.1,-39.81,6.9,1.2,0,2
"1592",21314,4.5762,20.3247,7.21,61.57,-103.21,9.93,0.573,0,2
"1600",15109,3.24811,15.5271,7.27,171.94,-56.02,9.51,0.642,0,2
"1627",14036,3.01226,10.8704,7.39,81.25,-34.38,5.93,1.593,0,2
"1641",17746,3.80009,16.9625,7.46,67.95,-17.66,7.98,0.406,0,2
"1648",17995,3.84618,8.44775,7.51,68.39,-37.33,8.04,0.525,0,2
"1661",15628,3.3539,3.85687,7.59,58.87,-14.04,8.9,0.389,0,2
"1667",16738,3.58869,11.3968,7.61,176.85,0.25,8.29,0.575,0,2
"1675",17779,3.80622,8.58038,7.65,92.26,-17.14,7.4,1.107,0,2
"1681",20952,4.49241,13.8947,7.68,176.16,-15.25,7.72,1.216,0,2
"1703",27263,5.77904,11.0504,7.78,56.64,-57.82,7.6,0.717,0,2
"1708",14477,3.11394,5.65004,7.82,56.57,-54.85,8.21,0.417,0,2
"1714",13533,2.90499,15.4955,7.86,84.54,-31.53,8.57,0.418,0,2
"1722",15083,3.24222,12.6569,7.88,69.3,-32.89,9.36,0.801,0,2
"1789",15054,3.23346,10.4533,8.27,63.36,-67.56,8.46,0.56,0,2
"1802",16488,3.5387,4.65013,8.36,134.47,-49.81,9.61,0.682,0,2
"1805",18368,3.92716,9.92902,8.4,56.53,-15.2,8.55,0.496,0,2
"1828",18346,3.92207,23.3604,8.61,69.97,-9.28,8.4,1.01,0,2
"1837",20810,4.45899,15.3654,8.66,86.29,-25.06,11.05,0.808,0,2
"1841",24602,5.27705,21.2325,8.68,53.11,-26.94,10.32,0.67,0,2
"1902",22105,4.75773,19.3489,9.08,132.08,-123.92,9.32,0.89,0,2
"1908",15668,3.36424,11.3094,9.15,65.11,-76.38,10.39,0.887,0,2
"1929",17408,3.72978,19.665,9.39,115.75,-56.56,6.13,0.994,0,2
"1949",21684,4.65487,11.2651,9.56,84.37,-58.8,9.68,0.72,0,2
"1961",22893,4.92397,10.2083,9.66,56.84,-19.85,9.16,0.543,0,2
"1967",18220,3.89593,13.505,9.72,65.2,-7.31,8.25,0.498,0,2
"1978",21332,4.57839,17.7482,9.87,67.96,-33.24,7.91,0.411,0,2
"1983",14702,3.16566,6.70482,9.95,109.46,-57.2,8.16,0.761,0,2
"1996",19617,4.20357,14.9324,10.08,55.36,-69.45,8.61,0.465,0,2
"2020",24030,5.16582,5.55743,10.29,271.4,-70.78,9.71,0.52,0,2
"2023",18449,3.94336,6.71056,10.35,78.23,-56.14,7.85,0.352,0,2
"2041",28139,5.94707,11.5211,10.62,105.96,-56.71,5.89,1.111,0,2
"2047",16813,3.60676,20.0676,10.69,95.66,-50.3,7.47,0.502,0,2
"2049",15206,3.26753,11.6284,10.74,194.35,-14.44,8.01,0.608,0,2
"2055",22176,4.77134,18.7347,10.81,73.03,-69.79,5.99,1.221,0,2
"2059",16374,3.51558,18.7994,10.83,131.32,-70.85,8.12,0.58,0,2
"2066",18692,4.00463,14.3059,10.93,54.46,-18.63,8.28,0.487,0,2
"2076",21321,4.57689,6.52368,11.11,112.23,-117.5,9.41,0.548,0,2
"2084",18096,3.86806,18.1348,11.19,69.95,-23.15,9.35,0.612,0,2
"2085",21442,4.60489,21.6892,11.19,61.76,-71.31,8.18,0.456,0,2
"2087",19388,4.15277,19.6092,11.21,107.44,-31.64,5.51,1.077,0,2
"2088",15619,3.35189,3.67562,11.23,56.05,-25.17,5.7,0.964,0,2
"2093",23807,5.11706,16.8274,11.26,51.76,-55.69,8.46,0.488,0,2
"2098",19696,4.21971,16.7668,11.33,147.29,-45.69,9.15,0.64,0,2
"2099",21226,4.55274,4.97012,11.35,55.34,-73.65,8.74,0.512,0,2
"2106",21953,4.71843,20.63,11.51,64.89,19.84,8.66,0.533,0,2
"2109",22751,4.89409,23.0203,11.62,65.74,-27.54,9.29,0.503,0,2
"2110",20319,4.35284,6.10354,11.64,669.26,-30.2,11.86,1.18,0,2
"2113",14054,3.01605,5.28794,11.69,189.55,-95.1,8.16,0.914,0,2
"2115",16896,3.62297,18.5969,11.73,142.33,-4.15,8.73,0.518,0,2
"2121",14132,3.03766,18.3292,11.94,114.8,-62.11,9.6,0.655,0,2
"2129",15134,3.25213,16.3034,12.13,133.29,-78.41,8.83,0.67,0,2
"2132",22684,4.87833,20.0006,12.14,72.14,-19.74,9.28,1.128,0,2
"2136",22157,4.76715,11.7056,12.24,67.48,-7.09,5.35,0.197,0,2
"2138",26828,5.69632,22.8704,12.32,194.34,-125.43,7.92,0.495,0,2
"2139",14098,3.03072,16.518,12.33,183.55,-59.25,8.24,0.504,0,2
"2140",23810,5.11731,16.8205,12.34,55.12,-55.52,10.3,0.821,0,2
"2143",15961,3.42527,17.1426,12.47,197.63,-65.59,9.43,0.7,0,2
"2147",24527,5.26203,12.8793,12.54,149.58,-121.02,8.96,0.673,0,2
"2149",17332,3.70974,6.98669,12.62,178.93,-99.71,10.9,0.9,0,2
"2157",18174,3.887,7.7705,12.75,59.26,-98.2,7.47,0.515,0,2
"2161",18618,3.98342,9.78169,12.85,95.92,-45.88,8.19,0.613,0,2
"2166",13982,3.00143,10.656,13.11,139.87,-77.08,7.51,0.475,0,2
"2170",19818,4.24982,5.17764,13.12,80.24,-45.94,9.56,0.625,0,2
"2172",23710,5.09705,13.2861,13.18,55.6,-103.29,7.86,0.844,0,2
"2179",19961,4.28023,5.61849,13.31,66.16,-75.73,12.19,1.391,0,2
"2180",22362,4.8142,5.54446,13.31,133.59,-107.63,10.57,0.96,0,2
"2182",26231,5.58901,13.2844,13.34,48.14,-60.88,8,0.496,0,2
"2187",17832,3.81582,23.8571,13.44,46.92,-56.45,6.47,0.377,0,2
"2189",28312,5.98253,18.9799,13.5,47.82,-49.08,8.47,0.606,0,2
"2195",22942,4.9364,13.9754,13.56,107.2,-71.78,8.81,0.78,0,2
"2197",13855,2.97327,19.2293,13.57,48.54,-60.45,8.78,0.652,0,2
"2200",16479,3.53668,3.87686,13.59,46.33,-79.44,8.3,0.418,0,2
"2205",15368,3.30213,8.04426,13.76,58.94,-3.7,11.47,0.9,0,2
"2206",23701,5.09455,6.46518,13.78,66.03,4.23,9.86,0.947,0,2
"2207",24283,5.21167,23.8933,13.8,243.28,-131.05,10.32,0.88,0,2
"2208",14152,3.04095,22.3735,13.81,101.08,-31.7,7.92,0.506,0,2
"2209",14676,3.1601,5.20288,13.83,71.03,-28.47,7.99,0.58,0,2
"2219",21503,4.61857,22.2843,14.29,201.54,-5.46,9.47,0.75,0,2
