HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V
17876,"3,824317","12,908965","0,03","-39,25","50,04","10,74","0,765"
24846,"5,326367","3,873880","0,06","-3,2","-5,95","9,64","0,994"
27642,"5,851285","18,551303","0,08","0,53","-6,25","6,76","1,345"
22610,"4,864453","23,354666","0,09","5,85","-4,64","8,75","0,297"
18599,"3,979617","9,026071","0,1","3,61","-7,19","8,47","1,712"
27626,"5,849017","20,360349","0,1","-7,27",0,"9,27","0,151"
27735,"5,871711","9,197672","0,1","3,05","-1,15","8,44","1,533"
28716,"6,065329","20,138452","0,1","2,19","-2,81","4,64","0,236"
16865,"3,617355","15,822426","0,17","-5,19","6,31","10,11","1,19"
27389,"5,800533","4,986392","0,19","-6,32","-15,55","8,96","1,883"
14630,"3,150052","9,711670","0,2","8,52","-10,87","8,39","1,568"
26441,"5,626828","23,138858","0,26","0,68","-7,01","8,74","0,052"
26492,"5,634827","6,534516","0,26","-2,14","-1,1","10,9","0,127"
26298,"5,600720","19,549410","0,27","-3,66","-9,28","7,16","0,08"
26272,"5,594591","21,403257","0,28","-5,6","-7,91","7,56","0,133"
21533,"4,623560","13,920975","0,35","-4,17","-17,19","8,59","1,788"
27129,"5,753200","18,704361","0,36","-2,22","-3,18","6,67","1,583"
27941,"5,912426","13,854738","0,37","-0,29","-2,41","7,9","0,008"
18988,"4,068657","4,094987","0,38","0,29","-15,88","11,06","0,565"
17291,"3,701794","16,956028","0,39","9,41","1,01","8,91",      
23436,"5,037748","24,029163","0,39","-0,5","-3,15","8,36","0,109"
24625,"5,281761","4,663754","0,4","1,41","-7,19","8,68","1,642"
17040,"3,653017","11,089960","0,41","15,58","-4,69","10,37","0,79"
17206,"3,686072","4,185805","0,41","3,19","-2,23","8,45","1,069"
16618,"3,563692","21,019581","0,43","6,72","-10,62","10,28","1,551"
26696,"5,673579","21,295017","0,45","-4,37","-1,94","11,27","0,506"
23320,"5,015361","6,584649","0,47","-5,15","-0,6","9,18","1,404"
24386,"5,231658","17,453264","0,47",-6,"-0,92",9,"1,898"
15268,"3,282575","22,833497","0,48","5,49","-22,17","9,14","1,249"
27442,"5,810713","23,785472","0,49","-0,85","-2,79","8,26","0,021"
26211,"5,585991","5,462214","0,51","-0,28","1,49","8,31","0,098"
28676,"6,054908","11,136055","0,55","-2,49","-2,64","8,19","-0,021"
17836,"3,816134","14,975641","0,56","8,6","-27,04","8,51","0,689"
15227,"3,272052","19,337771","0,57","-11,9","-3,29","7,86","1,132"
19714,"4,223447","3,902234","0,57","-0,75","7,32","8,1","1,754"
28341,"5,989029","11,762603","0,57","1,53","-4,67","8,48","1,001"
15650,"3,357861","7,624536","0,59","-0,8","-6,62","10,49","1,287"
27287,"5,782421","20,281835","0,59","2,95","-4,89","7,06","1,369"
28268,"5,972860","12,988532","0,59","-1,97","-4,56","7,94","1,27"
24473,"5,252278","6,441197","0,6","-1,41","-2,13","10,42","0,026"
23681,"5,090111","4,581705","0,61","7,05","1,42","8,54","0,009"
25385,"5,431022","21,132512","0,61","3,07","-17,22","8,77","0,145"
19355,"4,146422","6,781541","0,64","-1,12","8,68","9,03","0,304"
15233,"3,273736","13,851491","0,66","8,27","-1,26","8,47","1,542"
16007,"3,435783","14,290266","0,66","-9,01","-15,5","10,1","0,786"
20062,"4,302162","9,728334","0,66","13,09","-8,98","8,78","1,105"
26522,"5,640636","4,245335","0,66","-5,33","0,58","9,94","0,264"
23401,"5,029485","18,777421","0,67","-0,71","1,99","9,62","0,807"
22351,"4,812030","10,395165","0,68","-2,72","-3,77","8,73","1,58"
23184,"4,988791","5,299417","0,68","2,2","-0,7","9,42","1,338"
14089,"3,027944","16,315441","0,69","22,32","-18,98","8,58","1,08"
15081,"3,240919","13,073890","0,7","-4,19","-3,09","8,79","0,318"
24910,"5,339140","18,593377","0,7","-3,09","-5,8","9,1","1,728"
20182,"4,326114","14,692331","0,71","3,67","8,9","8,77","0,564"
16569,"3,555554","3,440254","0,72","13,95","0,34","10,66","0,164"
24317,"5,218027","18,498675","0,73","2,86","-5,49","9,97","0,516"
26786,"5,689612","17,522180","0,76","-1,55","-4,51","6,97","1,803"
21866,"4,701491","11,856022","0,79","8,01","-3,14","10,39","0,432"
27362,"5,794949","5,883762","0,79","1,29","-3,55","8,49","0,686"
24475,"5,252510","15,062559","0,8","0,56",-3,"7,47","0,157"
26484,"5,632905","22,465215","0,84","-9,05","-4,64","8,99","0,165"
26770,"5,686581","20,062524","0,85","-2,08","-3,07","8,11","1,73"
17740,"3,799178","18,663354","0,86","1,12","-16,92","9,31","0,591"
24855,"5,328169","5,645212","0,86","-0,84","-0,31","9,15","0,567"
25372,"5,427658","16,636010","0,86","-11,44","5,79","8,45","1,895"
27183,"5,761258","18,656892","0,86","0,01","-3,48","8,07","0,676"
23247,"5,002731","22,592767","0,88","-0,51","-3,43","8,69","0,166"
26599,"5,654119","23,323360","0,88","-0,78","-6,54","7,52","1,924"
14601,"3,141912","10,445897","0,89","66,42","-88,06","9,81","0,473"
15841,"3,400993","13,054988","0,89","19,41","-22,28","10,99","0,645"
27851,"5,892687","24,286998","0,89","-7,77","-7,61","8,07","-0,046"
19623,"4,204802","9,127452","0,91","0,64","-8,5","9,49","0,771"
25409,"5,434829","22,825995","0,91","-15,38","-27,8","10,09","0,538"
23508,"5,054751","4,015558","0,92",1,"4,27","8,1","-0,112"
24310,"5,216828","8,467598","0,92","4,6","-5,26","8,8","0,162"
22211,"4,776638","19,494251","0,93","-1,39","-1,15","8,44","1,6"
27585,"5,841578","20,444182","0,93","2,14","-4,69","8,85","0,119"
19886,"4,265883","12,099401","0,94","30,56","-20,18","10,73","0,457"
26991,"5,726688","12,995633","0,95","-11,31","-7,52","8,29","0,149"
17070,"3,658517","3,792797","0,97","10,06","9,87","9,86","0,527"
17158,"3,674854","5,129949","0,98","-58,59","11,95","9,73","0,58"
27034,"5,733956","7,428077","0,99","8,07","-2,36","8,89","1,376"
28709,"6,063399","13,109963","0,99","-6,43","-11,75","8,36","0,131"
22085,"4,751137","9,487955","1,01","1,17","-10,16","8,28","1,572"
22672,"4,876448","20,104812","1,01","11,64","6,35","8,73","1,271"
23900,"5,135173","24,265175","1,01","1,74","-5,29","5,5","0,03"
25812,"5,512954","13,815187","1,01","0,65","-9,35","9,22","0,259"
20513,"4,395605","22,964799","1,02","1,82","-13,64","7,03","1,826"
25826,"5,514380","10,254383","1,02","3,25","-1,39","7,47","-0,08"
20099,"4,308959","4,951935","1,03","18,6","16,31","7,85","1,471"
23592,"5,072796","21,643549","1,04","2,68","-5,17","7,94","0,336"
27191,"5,763675","18,792437","1,04","-1,16","-6,21","7,51","0,098"
17141,"3,670900","8,081384","1,05","-1,35","1,09","8,72","1,386"
27374,"5,797994","17,796700","1,05","5,36","-7,42","8,64","0,65"
28064,"5,933483","12,962790","1,05","4,03","-4,3","8,17",0
14778,"3,180321","10,005896","1,06","30,08","10,35","6,95","1,726"
16534,"3,548648","12,974552","1,06","7,97","-19,27","10,16","0,405"
18506,"3,957073","18,691982","1,07","12,22","-5,28","10,47","0,608"
18684,"4,001039","21,370305","1,09","-8,51","-11,59","9,98","0,434"
18409,"3,935804","19,228374","1,12","22,82","-15,1","8,89","1,172"
22685,"4,878335","8,364685","1,12","5,93","-13,25","8,51","1,381"
24467,"5,251623","4,905215","1,12","-4,32","0,14","8,77","-0,151"
26166,"5,578711","5,660882","1,12","-0,96","6,34","6,71","-0,137"
27135,"5,753813","24,420127","1,12","3,46","-5,97","8,22","2,1"
18025,"3,852245","20,552931","1,13","12,14","-8,97","10,74","0,685"
16593,"3,559977","14,678491","1,14","-1,07","-2,11","7,6","1,87"
21810,"4,685026","6,631325","1,14","-1,09","-2,5","8,88","1,789"
23469,"5,045429","5,830488","1,14","2,79","-2,52","9,27","0,115"
28497,"6,015372","17,890237","1,15","3,14","-2,55","8,18","0,98"
16615,"3,563595","10,233787","1,17","11,21","-13,68","8,7","1,879"
22357,"4,812743","19,723962","1,17","4,09","-9,24","9,56","0,614"
22665,"4,874956","9,864092","1,18","-2,2","-12,56","7,68","1,298"
21424,"4,599849","4,070826","1,19","18,53","25,08","8,64","1,047"
23494,"5,050580","9,382420","1,19","2,28","-3,18","7,56","-0,013"
23353,"5,022447","15,744372","1,2","1,24","-2,6","7,41","1,668"
27120,"5,751004","21,477817","1,21","8,14","-6,13","9,4","0,683"
14096,"3,030520","8,153739","1,22","9,25","-9,37","9,23","1,512"
16305,"3,503522","24,486857","1,22","-3,5","-2,87","9,51","1,081"
22005,"4,730327","3,477886","1,22","0,86","-5,28","8,2","1,171"
26669,"5,667950","11,175594","1,24","0,71","-5,22","8,92","0,092"
15283,"3,286562","15,406627","1,25","-10,87","-25,82","8,48","1,14"
24229,"5,202168","6,859832","1,26","4,3","-4,27","7,6","1,624"
25936,"5,535005","21,057310","1,26","7,29","-14,37","9,81","0,42"
14496,"3,120767","5,019856","1,27","-5,46","5,56","8,4","1,457"
14675,"3,159967","19,031721","1,27","0,3","1,61","9,01","0,903"
25201,"5,391667","16,042474","1,28","3,67","-3,39","8,28","0,154"
27587,"5,841626","13,383352","1,28","-1,27","-5,87","8,75","0,109"
17708,"3,792851","16,705925","1,29","1,28","2,98","8,44","1,2"
17444,"3,737176","9,696823","1,31","3,67","-8,7","9,38",1
28425,"6,002713","19,990921","1,31","-4,4","-4,52","7,89","-0,112"
28700,"6,061118","10,129666","1,31","-5,2","-16,35","8,81","1,018"
28814,"6,082878","4,158671","1,31","0,28","-2,38","5,63","1,041"
26411,"5,621207","19,010492","1,32","-7,6","-16,95","9,39","0,366"
21371,"4,585785","7,773687","1,33","4,37","-11,98","10,68","0,417"
26684,"5,670565","21,285993","1,35","-14,36","-10,18","8,57","0,401"
22161,"4,768083","18,800740","1,36","-1,35","-1,32","7,48","1,499"
26861,"5,702937","13,591858","1,36","-5,05","-3,85","8,75","0,063"
26944,"5,717225","22,675675","1,36","-7,25","-6,03","8,3","-0,05"
23996,"5,158286","14,355939","1,37","7,13","-13,52","8,03","1,769"
26826,"5,695595","19,357090","1,37","-4,01","-3,43","8,17","0,232"
25155,"5,383225","11,417507","1,4","0,25","-6,63","8,95","1,442"
25809,"5,512522","21,515349","1,4","-4,32","-5,16","10,33","0,731"
25035,"5,361087","18,906781","1,41","-2,71","-14,32","7,71","0,943"
20321,"4,353467","4,465394","1,42","0,17","-18,09","8,86","1,123"
26618,"5,657648","11,502946","1,43","21,07","-15,46","7,92","1,558"
25375,"5,428347","9,228531","1,45","-11,29","-20,81","8,18","1,587"
26575,"5,649939","4,138660","1,46","0,11","-7,73","8,16","1,66"
21575,"4,631760","7,317625","1,48","2,83","-3,05",7,"-0,057"
25445,"5,442270","8,255326","1,48","-4,25","-1,47","8,45","0,083"
24158,"5,188298","22,116879","1,49","0,43","-0,8","8,07","0,755"
27841,"5,890794","18,169956","1,49","-1,72","-5,7","7,59","0,494"
28046,"5,931102","19,396057","1,49","3,22","-1,33","8,8","1,459"
15564,"3,342381","16,332988","1,5","3,03","-8,14","9,22","0,449"
16416,"3,523460","17,811329","1,5","14,84","-16,04","8,19","1,259"
18441,"3,942204","8,511754","1,51","8,31","-22,16","8,94","1,212"
19180,"4,111239","13,157218","1,52","-11,86","-20,01","9,51","1,239"
28041,"5,930325","20,175191","1,52","-13,61","-6,2","10,62","1,5"
28621,"6,042590","13,025450","1,52","-0,2","-26,96","6,96","1,644"
27906,"5,905215","24,328670","1,53","-3,8","-5,37","9,67","0,321"
23587,"5,072005","20,039355","1,55","8,11","-6,14","9,91","1,651"
25004,"5,353715","7,355380","1,57","1,61","-0,09","9,75","2,735"
26982,"5,725142","18,145370","1,57","-2,86","-1,29","8,8","0,073"
18792,"4,026271","20,606118","1,59","13,6","-5,7","10,8","0,507"
18937,"4,058877","12,898888","1,59","7,63","-1,96","8,9","1,823"
27544,"5,832801","14,880153","1,59","-6,24","-11,01","8,38","0,091"
27480,"5,818828","4,212472","1,6","-7,64","-11,7","7,81","-0,054"
25390,"5,431635","21,785918","1,62","0,56","-3,15","8,72","1,394"
26513,"5,637836","4,933959","1,64","-3,82","-6,9","7,93","0,182"
27150,"5,755921","23,393271","1,65","-10,61","-5,81","9,14","0,261"
28582,"6,033330","16,515758","1,65","-1,68","-5,7","9,51","0,044"
21626,"4,643400","8,175172","1,66","-0,7","-8,38","7,64","-0,01"
22112,"4,759635","19,328303","1,66","0,25","1,18","8,39","0,355"
25266,"5,403557","22,137912","1,66","26,28","-14,45","10,59","0,756"
27567,"5,838264","16,572273","1,66","4,37","-10,13","9,21","0,141"
20336,"4,356651","18,266323","1,67","4,01","-4,56","8,04","0,41"
21904,"4,710400","12,311126","1,69","1,24","0,89","8,16","0,755"
27590,"5,842301","18,026361","1,69",-2,"-6,56","7,72","-0,08"
25467,"5,446070","4,056126","1,7","-3,02","-6,92","8,69","0,114"
25945,"5,536875","18,594234","1,7","-0,34","-4,51","4,32","2,06"
14071,"3,021898","4,996266","1,71","21,64","-24,26","10,93","0,579"
16701,"3,582372","19,810139","1,71","24,46","-19,08","8,7","1,744"
18443,"3,942570","11,998190","1,72","-1,07","0,48","10,24","0,673"
26748,"5,683251","16,044397","1,72","0,52","-20,42","8,85","1,196"
18953,"4,061996","5,716625","1,73","-4,88","0,64","9,25","0,248"
19002,"4,071866","20,679223","1,74","1,49","-0,02","9,09","0,117"
23284,"5,009316","22,615741","1,74","-4,32","-3,21","9,02","0,349"
26064,"5,558786","18,540231","1,74","0,15","0,01","5,67","-0,022"
22026,"4,735192","20,311848","1,75","-12,11","-27,89","10,86","0,655"
26734,"5,680082","17,196026","1,75","0,92","-1,41","8,9","0,163"
25337,"5,419549","20,583727","1,76","-0,5","-3,26","6,75","0,221"
27098,"5,746054","21,943722","1,76","-1,83","-3,86","9,03","0,585"
20672,"4,428256","9,725040","1,77","14,17","-12,68","8,6","0,625"
26151,"5,575236","14,003297","1,77","-1,89","-8,21","8,59","-0,1"
28123,"5,944047","9,507164","1,78","-0,28","-10,43","9,27","0,284"
28887,"6,099316","7,317540","1,8","89,2","-243,88","10,31","0,676"
23669,"5,087936","15,239900","1,81","10,25","-5,79","7,69","0,204"
25534,"5,460273","19,303765","1,81","10,56","-6,98","10,04","0,284"
