HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,BV,hyades
17876,3.82432,12.909,0.03,-39.25,50.04,10.74,0.765,0
24846,5.32637,3.87388,0.06,-3.2,-5.95,9.64,0.994,0
27642,5.85128,18.5513,0.08,0.53,-6.25,6.76,1.345,0
22610,4.86445,23.3547,0.09,5.85,-4.64,8.75,0.297,0
18599,3.97962,9.02607,0.1,3.61,-7.19,8.47,1.712,0
27626,5.84902,20.3603,0.1,-7.27,0,9.27,0.151,0
27735,5.87171,9.19767,0.1,3.05,-1.15,8.44,1.533,0
28716,6.06533,20.1385,0.1,2.19,-2.81,4.64,0.236,0
16865,3.61736,15.8224,0.17,-5.19,6.31,10.11,1.19,0
27389,5.80053,4.98639,0.19,-6.32,-15.55,8.96,1.883,0
14630,3.15005,9.71167,0.2,8.52,-10.87,8.39,1.568,0
26441,5.62683,23.1389,0.26,0.68,-7.01,8.74,0.052,0
26492,5.63483,6.53452,0.26,-2.14,-1.1,10.9,0.127,0
26298,5.60072,19.5494,0.27,-3.66,-9.28,7.16,0.08,0
26272,5.59459,21.4033,0.28,-5.6,-7.91,7.56,0.133,0
21533,4.62356,13.921,0.35,-4.17,-17.19,8.59,1.788,0
27129,5.7532,18.7044,0.36,-2.22,-3.18,6.67,1.583,0
27941,5.91243,13.8547,0.37,-0.29,-2.41,7.9,0.008,0
18988,4.06866,4.09499,0.38,0.29,-15.88,11.06,0.565,0
17291,3.70179,16.956,0.39,9.41,1.01,8.91,0,0
23436,5.03775,24.0292,0.39,-0.5,-3.15,8.36,0.109,0
24625,5.28176,4.66375,0.4,1.41,-7.19,8.68,1.642,0
17040,3.65302,11.09,0.41,15.58,-4.69,10.37,0.79,0
17206,3.68607,4.1858,0.41,3.19,-2.23,8.45,1.069,0
16618,3.56369,21.0196,0.43,6.72,-10.62,10.28,1.551,0
26696,5.67358,21.295,0.45,-4.37,-1.94,11.27,0.506,0
23320,5.01536,6.58465,0.47,-5.15,-0.6,9.18,1.404,0
24386,5.23166,17.4533,0.47,-6,-0.92,9,1.898,0
15268,3.28257,22.8335,0.48,5.49,-22.17,9.14,1.249,0
27442,5.81071,23.7855,0.49,-0.85,-2.79,8.26,0.021,0
26211,5.58599,5.46221,0.51,-0.28,1.49,8.31,0.098,0
28676,6.05491,11.1361,0.55,-2.49,-2.64,8.19,-0.021,0
17836,3.81613,14.9756,0.56,8.6,-27.04,8.51,0.689,0
15227,3.27205,19.3378,0.57,-11.9,-3.29,7.86,1.132,0
19714,4.22345,3.90223,0.57,-0.75,7.32,8.1,1.754,0
28341,5.98903,11.7626,0.57,1.53,-4.67,8.48,1.001,0
15650,3.35786,7.62454,0.59,-0.8,-6.62,10.49,1.287,0
27287,5.78242,20.2818,0.59,2.95,-4.89,7.06,1.369,0
28268,5.97286,12.9885,0.59,-1.97,-4.56,7.94,1.27,0
24473,5.25228,6.4412,0.6,-1.41,-2.13,10.42,0.026,0
23681,5.09011,4.58171,0.61,7.05,1.42,8.54,0.009,0
25385,5.43102,21.1325,0.61,3.07,-17.22,8.77,0.145,0
19355,4.14642,6.78154,0.64,-1.12,8.68,9.03,0.304,0
15233,3.27374,13.8515,0.66,8.27,-1.26,8.47,1.542,0
16007,3.43578,14.2903,0.66,-9.01,-15.5,10.1,0.786,0
20062,4.30216,9.72833,0.66,13.09,-8.98,8.78,1.105,0
26522,5.64064,4.24534,0.66,-5.33,0.58,9.94,0.264,0
23401,5.02949,18.7774,0.67,-0.71,1.99,9.62,0.807,0
22351,4.81203,10.3952,0.68,-2.72,-3.77,8.73,1.58,0
23184,4.98879,5.29942,0.68,2.2,-0.7,9.42,1.338,0
14089,3.02794,16.3154,0.69,22.32,-18.98,8.58,1.08,0
15081,3.24092,13.0739,0.7,-4.19,-3.09,8.79,0.318,0
24910,5.33914,18.5934,0.7,-3.09,-5.8,9.1,1.728,0
20182,4.32611,14.6923,0.71,3.67,8.9,8.77,0.564,0
16569,3.55555,3.44025,0.72,13.95,0.34,10.66,0.164,0
24317,5.21803,18.4987,0.73,2.86,-5.49,9.97,0.516,0
26786,5.68961,17.5222,0.76,-1.55,-4.51,6.97,1.803,0
21866,4.70149,11.856,0.79,8.01,-3.14,10.39,0.432,0
27362,5.79495,5.88376,0.79,1.29,-3.55,8.49,0.686,0
24475,5.25251,15.0626,0.8,0.56,-3,7.47,0.157,0
26484,5.63291,22.4652,0.84,-9.05,-4.64,8.99,0.165,0
26770,5.68658,20.0625,0.85,-2.08,-3.07,8.11,1.73,0
17740,3.79918,18.6634,0.86,1.12,-16.92,9.31,0.591,0
24855,5.32817,5.64521,0.86,-0.84,-0.31,9.15,0.567,0
25372,5.42766,16.636,0.86,-11.44,5.79,8.45,1.895,0
27183,5.76126,18.6569,0.86,0.01,-3.48,8.07,0.676,0
23247,5.00273,22.5928,0.88,-0.51,-3.43,8.69,0.166,0
26599,5.65412,23.3234,0.88,-0.78,-6.54,7.52,1.924,0
14601,3.14191,10.4459,0.89,66.42,-88.06,9.81,0.473,0
15841,3.40099,13.055,0.89,19.41,-22.28,10.99,0.645,0
27851,5.89269,24.287,0.89,-7.77,-7.61,8.07,-0.046,0
19623,4.2048,9.12745,0.91,0.64,-8.5,9.49,0.771,0
25409,5.43483,22.826,0.91,-15.38,-27.8,10.09,0.538,0
23508,5.05475,4.01556,0.92,1,4.27,8.1,-0.112,0
24310,5.21683,8.4676,0.92,4.6,-5.26,8.8,0.162,0
22211,4.77664,19.4943,0.93,-1.39,-1.15,8.44,1.6,0
27585,5.84158,20.4442,0.93,2.14,-4.69,8.85,0.119,0
19886,4.26588,12.0994,0.94,30.56,-20.18,10.73,0.457,0
26991,5.72669,12.9956,0.95,-11.31,-7.52,8.29,0.149,0
17070,3.65852,3.7928,0.97,10.06,9.87,9.86,0.527,0
17158,3.67485,5.12995,0.98,-58.59,11.95,9.73,0.58,0
27034,5.73396,7.42808,0.99,8.07,-2.36,8.89,1.376,0
28709,6.0634,13.11,0.99,-6.43,-11.75,8.36,0.131,0
22085,4.75114,9.48796,1.01,1.17,-10.16,8.28,1.572,0
22672,4.87645,20.1048,1.01,11.64,6.35,8.73,1.271,0
23900,5.13517,24.2652,1.01,1.74,-5.29,5.5,0.03,0
25812,5.51295,13.8152,1.01,0.65,-9.35,9.22,0.259,0
20513,4.39561,22.9648,1.02,1.82,-13.64,7.03,1.826,0
25826,5.51438,10.2544,1.02,3.25,-1.39,7.47,-0.08,0
20099,4.30896,4.95193,1.03,18.6,16.31,7.85,1.471,0
23592,5.0728,21.6435,1.04,2.68,-5.17,7.94,0.336,0
27191,5.76368,18.7924,1.04,-1.16,-6.21,7.51,0.098,0
17141,3.6709,8.08138,1.05,-1.35,1.09,8.72,1.386,0
27374,5.79799,17.7967,1.05,5.36,-7.42,8.64,0.65,0
28064,5.93348,12.9628,1.05,4.03,-4.3,8.17,0,0
14778,3.18032,10.0059,1.06,30.08,10.35,6.95,1.726,0
16534,3.54865,12.9746,1.06,7.97,-19.27,10.16,0.405,0
18506,3.95707,18.692,1.07,12.22,-5.28,10.47,0.608,0
