"","HIP","recno","TYCID1","TYCID2","TYCID3","RA_J2000_24","DE_J2000","pmRA","pmDE","BT","VT","V","B.V","HD","X","ID.SIMBAD","AR_S","DE_S","AR_H","DE_H","distancia"
"1",15310,52491,649,1241,1,"3,292439","7,690146","166,9","-10,4","8,541","7,825","7,761","0,609",20439,1,"HD 20439",3.29244,7.6902,3.292439,7.690152,4.801042e-05
"2",19504,103133,1255,312,1,"4,178434","18,423254","121,3","-31,2","7,095","6,642","6,601","0,385",26345,2,"HD 26345",4.17843,18.4233,4.178435,18.423253,4.726521e-05
"3",19781,53865,679,597,1,"4,240459","14,625039","108","-18,3","9,31","8,521","8,450","0,671",26756,3,"HD 26756",4.24046,14.625,4.240458,14.625035,3.50571e-05
"4",19796,53583,671,211,1,"4,242873","10,701385","124,5","-5,9","7,714","7,164","7,115","0,468",26784,4,"HD 26784",4.24287,10.7014,4.242873,10.701388,1.236932e-05
"5",20349,104035,1276,251,1,"4,358792","21,039875","105,7","-36,8","7,306","6,837","6,795","0,399",27524,5,"HD 27524",4.35879,21.0399,4.358791,21.039877,2.302173e-05
"6",20350,103637,1268,295,1,"4,358964","18,417584","113,5","-30,8","7,334","6,856","6,813","0,406",27534,6,"HD 27534",4.35896,18.4176,4.358964,18.417582,1.843909e-05
"7",20357,53912,680,994,1,"4,359665","14,409794","102,5","-17,6","7,084","6,637","6,597","0,380",27561,7,"HD 27561",4.35967,14.4098,4.359665,14.409789,1.208305e-05
"8",20441,103489,1264,758,1,"4,379100","16,790950","135,9","-33,8","8,689","7,919","7,850","0,655",27685,8,"HD 27685",4.3791,16.791,4.379106,16.79104,4.04475e-05
"9",20480,104050,1276,639,1,"4,389536","21,379107","100,6","-35,9","9,754","8,928","8,854","0,702",27732,10,"HD 27732",4.38954,21.3791,4.389536,21.379095,6.403124e-06
"10",20491,153507,1820,1157,1,"4,391778","24,405407","94,5","-43,1","7,715","7,227","7,183","0,415",27731,9,"HD 27731",4.39178,24.4054,4.391778,24.405402,2.828427e-06
"11",20492,53877,680,194,1,"4,392315","14,670474","110,6","-18,8","10,266","9,17","9,071","0,932",27771,11,"HD 27771",4.39231,14.6705,4.392314,14.670478,2.236068e-05
"12",20557,104096,1277,747,1,"4,404049","21,736246","121,2","-45,8","7,756","7,181","7,129","0,489",27808,12,"HD 27808",4.40405,21.7362,4.404049,21.736244,4.401136e-05
"13",20567,103689,1269,806,1,"4,406187","17,078950","97,6","-28,3","7,498","7,007","6,963","0,417",27848,13,"HD 27848",4.40619,17.079,4.406187,17.078951,4.909175e-05
"14",20693,5621,81,1629,1,"4,432594","5,150140","95,4","3","7,969","7,408","7,358","0,477",28069,15,"HD 28069",4.43259,5.1501,4.432594,5.150145,4.517743e-05
"15",20712,104098,1277,808,1,"4,438472","21,470432","107,1","-37,7","8","7,403","7,349","0,507",28033,14,"HD 28033",4.43847,21.4704,4.438472,21.470434,3.405877e-05
"16",20916,103534,1265,791,1,"4,483270","16,159091","102,6","-22,8","7,236","6,64","6,586","0,507",28363,16,"HD 28363",4.48327,16.1591,4.48327,16.159092,8e-06
"17",20935,103673,1269,294,1,"4,489042","17,544934","104,6","-31,9","7,614","7,058","7,008","0,473",28394,17,"HD 28394",4.48904,17.5449,4.489043,17.544935,3.512834e-05
"18",20948,103682,1269,557,1,"4,491764","17,863161","107,7","-33,2","7,445","6,947","6,902","0,423",28406,18,"HD 28406",4.49176,17.8632,4.491764,17.863163,3.721559e-05
"19",21066,53655,673,700,1,"4,515881","10,751767","102,6","-10,8","7,603","7,089","7,043","0,437",28608,19,"HD 28608",4.51588,10.7518,4.515881,10.751768,3.201562e-05
"20",21267,53929,681,651,1,"4,562956","13,251875","103,6","-21,3","7,128","6,663","6,621","0,395",28911,20,"HD 28911",4.56296,13.2519,4.562956,13.251883,1.746425e-05
"21",21474,103594,1266,1214,1,"4,611312","15,869325","96,4","-23,8","7,159","6,68","6,637","0,407",29225,21,"HD 29225",4.61131,15.8693,4.611312,15.869329,2.906888e-05
"22",22524,104290,1280,1207,1,"4,846818","16,210451","83,8","-26,5","7,891","7,318","7,266","0,487",30738,22,"HD 30738",4.84682,16.2105,4.846818,16.210455,4.504442e-05
"23",22550,54409,688,43,1,"4,853481","11,068015","84,3","-13,5","7,425","6,813","6,758","0,520",30810,23,"HD 30810",4.85348,11.068,4.853482,11.068026,2.607681e-05
"24",22607,54885,696,1789,1,"4,863882","13,655131","86,7","-20,7","6,857","6,314","6,265","0,462",30869,24,"HD 30869",4.86389,13.6552,4.863886,13.655155,4.517743e-05
