"","fila","columna","RA_J2001SIMBAD","DE_J2001SIMBAD","RA_J2000HIPPARCOS","DE_J2000HIPPARCOS"
"1","2819","2359","4.84682","16.2105","4.846818","16.210455"
"2","2359","2819","4.846818","16.210455","4.84682","16.2105"
"3","2760","2367","4.35967","14.4098","4.359665","14.409789"
"4","2367","2760","4.359665","14.409789","4.35967","14.4098"
"5","2823","2370","4.27597","21.9075","4.275966","21.907469"
"6","2370","2823","4.275966","21.907469","4.27597","21.9075"
"7","2816","2372","4.35879","21.0399","4.358791","21.039877"
"8","2372","2816","4.358791","21.039877","4.35879","21.0399"
"9","2799","2383","4.35896","18.4176","4.358964","18.417582"
"10","2383","2799","4.358964","18.417582","4.35896","18.4176"
"11","2812","2384","4.50499","19.8406","4.504992","19.840576"
"12","2384","2812","4.504992","19.840576","4.50499","19.8406"
"13","2767","2386","4.30535","16.0883","4.305354","16.088341"
"14","2386","2767","4.305354","16.088341","4.30535","16.0883"
"15","2828","2390","4.39178","24.4054","4.391778","24.405402"
"16","2390","2828","4.391778","24.405402","4.39178","24.4054"
"17","2824","2393","4.85348","11.068","4.853482","11.068026"
"18","2393","2824","4.853482","11.068026","4.85348","11.068"
"19","2673","2403","4.48327","16.1591","4.48327","16.159092"
"20","2403","2673","4.48327","16.159092","4.48327","16.1591"
"21","2817","2404","4.38954","21.3791","4.389536","21.379095"
"22","2404","2817","4.389536","21.379095","4.38954","21.3791"
"23","2664","2405","4.47625","15.9622","4.476249","15.962181"
"24","2665","2405","4.47625","15.9622","4.476249","15.962181"
"25","2405","2664","4.476249","15.962181","4.47625","15.9622"
"26","2405","2665","4.476249","15.962181","4.47625","15.9622"
"27","2664","2405","4.47625","15.9622","4.476249","15.962181"
"28","2665","2405","4.47625","15.9622","4.476249","15.962181"
"29","2405","2664","4.476249","15.962181","4.47625","15.9622"
"30","2405","2665","4.476249","15.962181","4.47625","15.9622"
"31","2699","2406","4.40787","16.8862","4.407868","16.886166"
"32","2818","2450","4.43847","21.4704","4.438472","21.470434"
"33","2406","2699","4.407868","16.886166","4.40787","16.8862"
"34","2450","2818","4.438472","21.470434","4.43847","21.4704"
"35","2810","2414","4.47694","19.1804","4.476944","19.180432"
"36","2811","2414","4.47694","19.1804","4.476944","19.180432"
"37","2414","2810","4.476944","19.180432","4.47694","19.1804"
"38","2414","2811","4.476944","19.180432","4.47694","19.1804"
"39","2810","2414","4.47694","19.1804","4.476944","19.180432"
"40","2811","2414","4.47694","19.1804","4.476944","19.180432"
"41","2414","2810","4.476944","19.180432","4.47694","19.1804"
"42","2414","2811","4.476944","19.180432","4.47694","19.1804"
"43","2821","2417","4.24287","10.7014","4.242873","10.701388"
"44","2417","2821","4.242873","10.701388","4.24287","10.7014"
"45","2724","2419","4.48008","17.2855","4.480082","17.285464"
"46","2419","2724","4.480082","17.285464","4.48008","17.2855"
"47","2739","2422","4.32989","15.6276","4.32989","15.627642"
"48","2740","2422","4.32989","15.6276","4.32989","15.627642"
"49","2422","2739","4.32989","15.627642","4.32989","15.6276"
"50","2422","2740","4.32989","15.627642","4.32989","15.6276"
"51","2739","2422","4.32989","15.6276","4.32989","15.627642"
"52","2740","2422","4.32989","15.6276","4.32989","15.627642"
"53","2422","2739","4.32989","15.627642","4.32989","15.6276"
"54","2422","2740","4.32989","15.627642","4.32989","15.6276"
"55","2719","2426","4.39231","14.6705","4.392314","14.670478"
"56","2426","2719","4.392314","14.670478","4.39231","14.6705"
"57","2814","2429","4.12833","15.1628","4.128329","15.162788"
"58","2660","2464","4.45997","15.5892","4.459969","15.589188"
"59","2464","2660","4.459969","15.589188","4.45997","15.5892"
"60","2429","2814","4.128329","15.162788","4.12833","15.1628"
"61","2758","2431","4.38225","17.5425","4.382248","17.542514"
"62","2759","2431","4.38225","17.5425","4.382248","17.542514"
"63","2431","2758","4.382248","17.542514","4.38225","17.5425"
"64","2431","2759","4.382248","17.542514","4.38225","17.5425"
"65","2758","2431","4.38225","17.5425","4.382248","17.542514"
"66","2759","2431","4.38225","17.5425","4.382248","17.542514"
"67","2431","2758","4.382248","17.542514","4.38225","17.5425"
"68","2431","2759","4.382248","17.542514","4.38225","17.5425"
"69","2683","2443","4.44448","16.7469","4.444478","16.746899"
"70","2443","2683","4.444478","16.746899","4.44448","16.7469"
"71","2659","2445","4.42703","15.941","4.427033","15.94101"
"72","2445","2659","4.427033","15.94101","4.42703","15.941"
"73","2836","2448","6.03972","9.6473","6.039722","9.647277"
"74","2448","2836","6.039722","9.647277","6.03972","9.6473"
"75","2699","2406","4.40787","16.8862","4.407868","16.886166"
"76","2818","2450","4.43847","21.4704","4.438472","21.470434"
"77","2406","2699","4.407868","16.886166","4.40787","16.8862"
"78","2450","2818","4.438472","21.470434","4.43847","21.4704"
"79","2769","2452","4.49176","17.8632","4.491764","17.863163"
"80","2452","2769","4.491764","17.863163","4.49176","17.8632"
"81","2834","2454","3.29244","7.6902","3.292439","7.690152"
"82","2454","2834","3.292439","7.690152","3.29244","7.6902"
"83","2814","2429","4.12833","15.1628","4.128329","15.162788"
"84","2660","2464","4.45997","15.5892","4.459969","15.589188"
"85","2464","2660","4.459969","15.589188","4.45997","15.5892"
"86","2429","2814","4.128329","15.162788","4.12833","15.1628"
"87","2808","2469","4.24046","14.625","4.240458","14.625035"
"88","2469","2808","4.240458","14.625035","4.24046","14.625"
"89","2831","2472","4.43259","5.1501","4.432594","5.150145"
"90","2822","2529","4.86389","13.6552","4.863886","13.655155"
"91","2529","2822","4.863886","13.655155","4.86389","13.6552"
"92","2472","2831","4.432594","5.150145","4.43259","5.1501"
"93","2796","2485","4.26286","15.4007","4.262857","15.400695"
"94","2485","2796","4.262857","15.400695","4.26286","15.4007"
"95","2825","2489","4.60809","23.3409","4.608094","23.340855"
