n;identifier;prob_member;RA_J2000;DE_J2000
29;[BKM2008] HA1Ic09-735l ;25;4.45567;15.8000
34;[BKM2008] HA1Ic09-460l ;25;4.45458;15.7592
141;2MASS J04262583+1545029 ;25;4.44051;15.7508
137;[BKM2008] HA1Ic07-930l ;25;4.43478;15.8239
56;NAME PHI 342 ;100;4.42703;15.9410
13;V* V993 Tau ;100;4.45997;15.5892
163;V* V992 Tau ;100;4.43496;15.5243
131;[BKM2008] HA9Ic02-266l ;25;4.47431;15.7064
33;2MASS J04283012+1543077 ;25;4.47503;15.7188
116;* 77 Tau ;100;4.47625;15.9622
161;* 77 Tau ;100;4.47625;15.9622
101;[BKM2008] HA10c04-641l ;25;4.42333;15.6617
17;Cl* Melotte 25 LH 132 ;25;4.43238;16.2191
38;2MASS J04251419+1541079 ;25;4.42061;15.6856
73;[BKM2008] HA9Ic06-243s ;25;4.45131;15.4081
23;Cl* Melotte 25 LH 134 ;25;4.42877;16.2726
6;[BKM2008] HA2Ic03-781s ;75;4.45183;16.4294
3;Cl* Melotte 25 CFHT 15 ;75;4.45178;16.4300
28;HD 28363 ;100;4.48327;16.1591
133;LP 415-67 ;75;4.42126;16.3024
113;Cl* Melotte 25 CFHT 21 ;75;4.48964;15.5914
152;[BKM2008] HA5Ic01-385l ;25;4.49278;16.1233
179;[BKM2008] HA2Ic04-474l ;25;4.45611;16.5700
142;2MASS J04285859+1517386 ;25;4.48294;15.2941
112;Cl* Melotte 25 VA 562 ;25;4.49977;16.0503
107;[BKM2008] HA7Ic07-180l ;25;4.45944;16.6200
147;LP 415-142 ;75;4.50117;16.0683
143;[BKM2008] HA6Ic01-2048l ;25;4.48889;16.4967
182;V* V911 Tau ;100;4.44448;16.7469
68;LP 415-35 ;75;4.38679;15.7129
31;LP 15-640 ;100;4.51300;16.1487
65;Cl* Melotte 25 LH 162 ;25;4.39917;16.5461
8;[BKM2008] HA6Ic02-1202l ;25;4.49889;16.5250
16;[BKM2008] HA13c08-1866l ;25;4.48503;15.0097
69;[BKM2008] HA13c08-1543l ;25;4.48661;14.9961
77;[BKM2008] HA12c07-101l ;25;4.43689;14.8414
44;Cl* Melotte 25 VA 241 ;0;4.37575;15.8569
62;Cl* Melotte 25 DKJ 7334b ;25;4.38464;15.3159
80;[BKM2008] HA3Ic01-1181l ;25;4.38564;16.4917
102;LP 415-367 ;75;4.38375;15.2282
70;[BKM2008] HA7Ic11-2242l ;25;4.49544;16.7739
121;[BKM2008] HA7Ic02-927l ;25;4.46997;16.9592
159;Cl* Melotte 25 VA 477 ;25;4.47061;16.9667
173;[BKM2008] HB17c06-999l ;25;4.50367;16.7192
66;V* V897 Tau ;100;4.40787;16.8862
50;[BKM2008] HB7Ic04-558l ;25;4.37061;15.5217
60;[BKM2008] HA11c07-803l ;25;4.39500;14.9783
127;2MASS J04221413+1530525 ;25;4.37059;15.5146
166;[BKM2008] HB7Ic04-1273l ;25;4.37200;15.4317
99;[BKM2008] HB7Ic10-1289l ;25;4.37647;15.2567
84;[BKM2008] HB7Ic11-770l ;25;4.37783;15.2139
43;[BKM2008] HA8Ic00-3532l ;25;4.39722;16.8367
177;[BKM2008] HB17c07-1416l ;25;4.50825;16.7458
125;[BKM2008] HB6Ic09-322l ;25;4.36483;15.5408
78;[BKM2008] HB3Ic11-684l ;25;4.39631;16.8942
96;[BKM2008] HB15c00-4l ;25;4.53608;16.0578
172;HD 27848 ;100;4.40619;17.0790
85;HD 27685 ;100;4.37910;16.7910
46;2MASS J04311634+1500122 ;75;4.52121;15.0034
122;[BKM2008] HB12c02-1504l ;25;4.49606;14.6528
110;2MASS J04220448+1639453 ;25;4.36791;16.6626
155;2MASS J04303535+1445320 ;25;4.50982;14.7589
97;[BKM2008] HB17c08-2177l ;25;4.52167;16.8267
76;Cl* Melotte 25 LH 169 ;25;4.39103;17.0408
