"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"766",24121,5.18084,16.4286,4,160.3,-219.4,8.6,1.225,0,2
"1052",20226,4.33446,23.5988,4.91,140.66,-35.19,7.19,1.113,0,2
"1062",21089,4.51959,18.8199,4.96,171.38,-155.99,10.6,1.1,0,2
"1103",14792,3.18364,9.98965,5.13,165.72,-22.58,9.65,0.604,0,2
"1106",24543,5.26553,21.822,5.15,245.77,16.44,10.24,0.681,0,2
"1370",24435,5.24231,18.6232,6.21,105.91,-235.74,10.32,0.835,0,2
"1525",23310,5.01313,4.56764,6.88,84.73,-35.94,6.69,1.032,0,2
"1554",16072,3.44994,23.7766,6.99,262.7,-342.88,10.81,0.544,0,2
"1576",22852,4.9164,5.38197,7.15,190.28,-43.36,12.39,0.57,0,2
"1600",15109,3.24811,15.5271,7.27,171.94,-56.02,9.51,0.642,0,2
"1667",16738,3.58869,11.3968,7.61,176.85,0.25,8.29,0.575,0,2
"1672",27989,5.91953,7.40706,7.63,27.33,10.86,0.45,1.5,0,2
"1681",20952,4.49241,13.8947,7.68,176.16,-15.25,7.72,1.216,0,2
"1707",23344,5.02128,4.11028,7.8,154.34,-146.31,9.79,0.413,0,2
"1711",26451,5.62741,21.1425,7.82,2.39,-18.04,2.97,-0.148,0,2
"1798",26617,5.65762,3.95074,8.32,255.83,-243.74,10.35,0.64,0,2
"1802",16488,3.5387,4.65013,8.36,134.47,-49.81,9.61,0.682,0,2
"1825",17847,3.81937,24.0534,8.57,17.77,-44.7,3.62,-0.07,0,2
"1859",17499,3.74793,24.1133,8.8,21.55,-44.92,3.72,-0.105,0,2
"1874",17702,3.79141,24.1051,8.87,19.35,-43.11,2.85,-0.086,0,2
"1899",17573,3.76378,24.3677,9.06,21.09,-45.03,3.87,-0.063,0,2
"1901",17608,3.7721,23.9484,9.08,21.17,-42.67,4.14,-0.051,0,2
"1902",22105,4.75773,19.3489,9.08,132.08,-123.92,9.32,0.89,0,2
"1929",17408,3.72978,19.665,9.39,115.75,-56.56,6.13,0.994,0,2
"1957",22306,4.80435,23.7632,9.62,104.74,-167.97,10.19,0.696,0,2
"1983",14702,3.16566,6.70482,9.95,109.46,-57.2,8.16,0.761,0,2
