recno,TYCID1,TYCID2,TYCID3,RA_J2000,DE_J2000,pmRA,pmDE,BT,VT,V,BV,HD,HIP,Plx,indexcandidate,hyades
3569,51,213,1,2.96936,4.91944,3,-5.9,11.922,10.722,10.614,1.02,NULL,NULL,0,1,0
3570,51,271,1,2.94831,4.89729,12,-0.6,11.715,10.863,10.786,0.724,NULL,NULL,0,2,0
3571,51,284,1,2.93978,3.54853,-16.4,-21.7,11.415,10.451,10.364,0.819,NULL,NULL,0,3,0
3572,51,306,1,2.98565,4.00394,120.2,-110.2,11.28,10.278,10.188,0.852,NULL,NULL,0,4,0
3573,51,310,1,2.94277,3.79931,-49,-31.9,11.02,10.424,10.37,0.507,NULL,NULL,0,5,0
3576,51,365,1,2.99485,4.10045,40.2,0.8,11.472,10.699,10.629,0.657,NULL,NULL,0,6,0
3579,51,383,1,2.91302,3.56942,52.5,-25.5,9.652,8.895,8.827,0.643,18115,NULL,0,8,0
3581,51,425,1,2.91071,4.82693,14.6,-8.1,11.069,9.684,9.559,1.177,NULL,NULL,0,9,0
3583,51,467,1,2.96425,4.03984,-3.7,-4.1,11.554,9.701,9.534,1.575,NULL,NULL,0,10,0
3584,51,521,1,2.93756,3.48608,-31.8,-45.7,10.561,10.075,10.031,0.413,NULL,NULL,0,11,0
3587,51,639,1,2.98852,4.0898,4.8,-6.7,12.192,10.501,10.349,1.437,NULL,NULL,0,13,0
3588,51,650,1,2.97018,4.3587,20.3,-9,11.532,11.002,10.954,0.45,NULL,NULL,0,14,0
3590,51,666,1,2.9292,4.66443,-30.9,-29,10.737,10.047,9.985,0.587,NULL,NULL,0,15,0
3595,51,761,1,2.90218,3.9362,24.2,-18.4,10.445,8.964,8.831,1.259,18053,NULL,0,17,0
3596,51,790,1,2.9702,3.82806,21.2,-64.7,10.082,9.321,9.253,0.647,18451,NULL,0,18,0
3601,51,883,1,2.94017,4.45179,2.5,-23.4,11.07,9.712,9.59,1.154,NULL,NULL,0,20,0
3603,51,923,1,2.93284,4.10684,5.4,-4.5,11.327,10.072,9.959,1.067,NULL,NULL,0,21,0
3606,51,951,1,2.99406,4.31076,16.9,-13.4,11.402,11.015,10.98,0.329,NULL,NULL,0,23,0
3608,51,955,1,2.93749,3.57979,-2.1,-16.3,10.895,10.755,10.742,0.119,NULL,NULL,0,24,0
3769,54,8,1,2.92083,6.23596,3,-4.3,11.262,9.378,9.208,1.601,NULL,NULL,0,25,0
3778,54,146,1,2.95028,5.53028,58.8,-62.9,10.622,9.859,9.79,0.649,NULL,NULL,0,28,0
3779,54,163,1,2.91741,7.09037,-1.2,-12.3,11.701,9.775,9.602,1.637,NULL,NULL,0,29,0
3782,54,211,1,2.96517,7.43518,57.2,0.1,10.709,9.904,9.832,0.684,NULL,NULL,0,31,0
3784,54,266,1,2.94589,6.33703,71.4,12.1,10.905,10.101,10.029,0.683,NULL,NULL,0,32,0
3785,54,277,1,2.92658,7.17495,-3.7,-20.7,11.599,10.748,10.671,0.723,NULL,NULL,0,33,0
3787,54,288,1,2.99644,5.88588,-6.5,-19.5,11.299,10.075,9.965,1.04,NULL,NULL,0,34,0
3788,54,306,1,2.92517,5.93361,75.6,-43.2,11.664,11.009,10.95,0.557,NULL,NULL,0,35,0
3792,54,347,1,2.98356,7.31507,19.3,-15.5,11.02,10.288,10.222,0.622,NULL,NULL,0,37,0
3793,54,356,1,2.91214,6.11571,9.9,-24.2,11.747,10.965,10.895,0.665,NULL,NULL,0,38,0
3796,54,373,1,2.96084,7.17876,1.2,-10.7,11.049,10.409,10.351,0.544,NULL,NULL,0,39,0
3797,54,379,1,2.99773,7.09959,0.8,-1.2,12.372,10.636,10.48,1.476,NULL,NULL,0,40,0
3798,54,400,1,2.93798,5.93713,-17.8,-27,11.475,10.87,10.816,0.514,NULL,NULL,0,41,0
3799,54,401,1,2.90715,7.19573,15.1,4.7,11.453,11.279,11.263,0.148,NULL,NULL,0,42,0
3800,54,409,1,2.9245,6.96201,11.7,-82,10.09,9.587,9.542,0.428,18181,NULL,0,43,0
3803,54,455,1,2.96253,6.91314,36.4,-5.3,10.57,10.115,10.074,0.387,NULL,NULL,0,44,0
3804,54,460,1,2.94092,5.27646,7,10.8,11.502,10.422,10.325,0.918,NULL,NULL,0,45,0
3805,54,470,1,2.9222,5.63922,23.1,-15.6,11.828,11.215,11.16,0.521,NULL,NULL,0,46,0
3807,54,483,1,2.93101,5.49788,1.9,-12.3,11.655,11.41,11.388,0.208,NULL,NULL,0,47,0
3808,54,498,1,2.90089,5.14324,-0.5,-1.1,12.202,11.005,10.897,1.017,NULL,NULL,0,48,0
3810,54,581,1,2.90245,5.63358,-41.9,-65.7,11.059,10.207,10.13,0.724,NULL,NULL,0,49,0
3811,54,630,1,2.9812,5.75724,-0.6,-5.3,10.856,10.421,10.382,0.37,NULL,NULL,0,50,0
3813,54,639,1,2.9802,5.73952,-3.2,-10.2,10.052,9.789,9.765,0.224,18529,NULL,0,51,0
3815,54,651,1,2.9393,6.56632,-0.1,24.8,9.926,9.457,9.415,0.399,18285,NULL,0,52,0
3816,54,676,1,2.97878,5.35124,6,-7,12.006,11.069,10.985,0.796,NULL,NULL,0,53,0
3817,54,682,1,2.92388,6.33911,17.5,-13.3,11.404,10.344,10.249,0.901,NULL,NULL,0,54,0
3818,54,734,1,2.98516,5.88125,3,-3.3,11.436,9.89,9.751,1.314,NULL,NULL,0,55,0
3821,54,763,1,2.90609,6.52177,13.7,-5.7,12.06,10.571,10.437,1.266,NULL,NULL,0,56,0
3822,54,804,1,2.93319,6.12524,4.7,-21.8,10.888,10.426,10.384,0.393,NULL,NULL,0,57,0
3823,54,805,1,2.9316,6.05949,14.9,-16.1,12.138,10.686,10.555,1.234,NULL,NULL,0,58,0
3825,54,832,1,2.90501,6.77662,38.9,-34.4,11.064,10.553,10.507,0.434,NULL,NULL,0,59,0
3827,54,838,1,2.94525,6.70366,29.6,-3.4,11.023,10.735,10.709,0.245,NULL,NULL,0,61,0
3830,54,883,1,2.95514,5.34458,28.7,30.4,12.065,10.993,10.897,0.911,NULL,NULL,0,63,0
3832,54,905,1,2.91892,5.50867,-38.2,-34.3,11.578,10.767,10.694,0.689,NULL,NULL,0,64,0
3834,54,930,1,2.90944,5.12871,-2.6,2.2,11.998,10.773,10.663,1.041,NULL,NULL,0,66,0
3835,54,934,1,2.9092,5.46658,72.6,-27,10.536,9.836,9.773,0.595,18094,NULL,0,67,0
3836,54,937,1,2.93995,5.61486,47.4,8.2,10.449,9.174,9.059,1.084,18297,NULL,0,68,0
3838,54,970,1,2.97158,5.35514,-1.1,-6.8,11.571,10.263,10.145,1.112,NULL,NULL,0,70,0
3839,54,997,1,2.95584,5.47797,6.9,-6.3,9.108,8.909,8.891,0.169,18383,NULL,0,71,0
3840,54,1009,1,2.93205,5.59013,14.6,-6.5,9.838,9.478,9.446,0.306,18249,NULL,0,72,0
3841,54,1016,1,2.91171,5.42447,4.5,-60.4,11.372,10.605,10.536,0.652,NULL,NULL,0,73,0
3844,54,1039,1,2.96085,5.15011,14.4,-2,11.931,10.424,10.288,1.281,NULL,NULL,0,74,0
3845,54,1061,1,2.95626,5.34552,12.7,-6.8,11.846,10.752,10.654,0.93,NULL,NULL,0,75,0
